Week,Ad_Spend,Sales,Consumer_Confidence,Impressions
32,19548.595582287646,86209.24855998922,104.40139401535522,421599.9344583846
33,9024.828773524858,49925.8485475445,102.99676326091766,90292.36070119691
34,53460.54466346017,83094.75509751913,97.26613075381793,160908.314013306
35,42589.97239147596,182479.26961076268,87.39820001402366,172514.71677228008
36,47453.72454569525,95819.29259446544,113.7322072118232,152198.28224559262
37,19043.851696939317,131694.82582634877,91.15655571208623,608114.9573426504
38,9693.035030384277,173846.81183529648,79.2480979619442,344388.74844359234
39,26986.63079732064,115237.29099439144,107.16229250968914,237654.93366664078
40,27872.868014123633,193773.28264876833,84.46758823242388,135677.086764233
41,15674.972095223206,194130.0101285822,113.34711517582723,299970.96036339336
42,24875.478114345548,75268.33373394833,114.41981145616334,360181.8704405376
43,12925.266023103286,124356.46380801445,112.84884644555038,120670.73538134541
44,33261.79412782867,91532.90186365682,91.30086704204585,371429.9695194963
45,20084.008116793408,96749.56001311887,76.98110789808433,251332.55755290505
46,28649.42695951432,45219.560294281175,118.55140828345002,317997.92283021833
47,19722.193431867956,147909.59021967894,93.92376944127692,289160.4871021445
48,31096.110888010524,144511.23886244456,117.11199975022006,84837.9784016509
49,26830.32025396898,56365.84816346101,122.54061919878795,294557.73437293153
50,16106.524790610556,96805.30082834775,113.85816138219575,355519.11820231006
51,59659.198687890275,194844.23644283306,93.46533002469357,232749.6131092423
52,36536.92043705276,80932.07705735673,92.10403743078818,341600.35192192363
53,56235.601639873865,74528.09841822203,110.94669255774296,339869.02632766496
54,36532.121810208766,123574.9094942413,88.05324107554975,230627.1601694181
55,37707.07301681528,199065.34251610865,83.44575176435062,121740.01565765122
56,62539.44987631235,76670.80991676086,100.04236546996026,264282.00729805615
57,8258.947983936616,151125.91211646888,114.19355562802215,105299.8907420892
58,15211.103433945727,170451.7239674196,103.69925967361408,316563.7641403626
59,13253.797711898864,103737.72948004521,98.98209626055501,277614.6461416808
60,22097.38911715124,171192.13814704007,83.49208604765332,326623.54758873093
61,27515.587235364066,132012.22019179794,101.64295058261811,243746.06154483845
62,18481.068464230804,135278.9873822262,118.23529649037903,410698.6865604673
63,43903.26961262803,155905.09308357272,85.63777391206781,410059.26867355005
64,23526.114405205695,132652.01463955684,102.6505391902482,398672.35873438534
65,26824.59705559735,90844.78068845478,110.45560939793762,451633.1751288253
66,33363.02472125941,165217.93498828588,112.64592878510005,203927.39362462296
67,16729.246091812096,87647.79795990001,109.16863840295233,810572.1210825464
68,38759.830026810945,70504.86322984035,103.88750728853023,467646.2424661848
69,11775.77577658509,29636.6525881445,98.14173421355,178813.91090424347
70,45375.19111559011,132079.1034438214,95.98202943319446,127129.63542197422
71,44246.25990610209,142170.18615350584,107.95432336968578,145981.48067054828
72,16499.279943327434,54363.20523965835,110.15760326739101,104235.37171429202
73,10830.737065929205,131074.793118573,117.76646374113824,122842.78565241501
74,64545.31823137643,107365.48090307089,119.02969780978205,334537.8210274748
75,45558.78318112296,158625.30480872432,97.27669474847283,127636.61159710141
76,36688.31943959304,68962.43195754402,97.13368166608764,204151.4087079327
77,51944.17212450209,142439.6974994515,110.62740873314577,379758.63357028813
78,11945.927446288886,114143.29233467426,105.84269741879429,111660.46615728867
79,16190.746214929175,174049.52268914346,109.26954857099568,404618.52142981073
80,11962.56776414925,93461.80955056043,110.51161399559622,287400.9669658531
81,30626.72712520868,115864.59387599792,115.22292307862261,86664.64762870668
82,32560.453618360283,61171.59207531983,96.01193892672869,471081.9868813368
83,23321.672438138008,167345.5793771248,90.35753016575703,451080.664939453
84,17538.476168386318,198480.27413241548,81.26621728018138,297901.96950928075
85,23955.526356599326,87263.22140302995,105.27972244519626,367927.3549188497
86,22020.919331649366,164430.0518780813,85.4175839937965,391222.4119601031
87,46254.368956785846,152704.8417038561,98.7415173005389,160599.7753104873
88,22813.908890968483,125807.42811775312,102.02918120125864,146343.82090957367
89,47683.36866000621,129512.96245298805,87.5057130171084,320526.17451297614
90,33704.1167544655,86863.57305312267,103.10375164169595,600160.4172764467
91,10999.091706727471,58354.234775502315,81.548479091292,598315.91175235
92,48433.055990395784,192347.73018104967,78.90050113894509,341797.4994197268
93,43263.35796619764,171752.17665706095,110.58020823102324,287439.62842165335
94,29864.676239264856,143190.1058003326,93.17182743936426,327577.39720020985
95,46348.37448713366,102354.25154021195,80.24934294152048,212786.3813092926
96,46853.65439684397,108795.1899304528,99.09799548421037,520867.39714577264
97,32054.28227489659,167765.39313570652,107.89390659764337,347223.2774898224
98,28481.033856204554,170545.0908760125,86.89566951701651,313224.84443404974
99,10049.732627115882,163936.43226908168,101.08646958103061,381560.7798451298
100,12077.99213965443,182910.73679635068,87.34666660648617,372796.6034959009
